"featureCol"	"count"	"average"
"1"	"V1"	10299	0.274347260646063
"2"	"V121"	10299	-0.0309824871713436
"3"	"V122"	10299	-0.0747194855994359
"4"	"V123"	10299	0.088357304227173
"5"	"V124"	10299	-0.721192598029789
"6"	"V125"	10299	-0.682653506899942
"7"	"V126"	10299	-0.653665674372188
"8"	"V161"	10299	-0.0967092754729683
"9"	"V162"	10299	-0.0423181079782632
"10"	"V163"	10299	-0.0548303497968374
"11"	"V164"	10299	-0.731348533131935
"12"	"V165"	10299	-0.786062320321895
"13"	"V166"	10299	-0.739932395222129
"14"	"V2"	10299	-0.0177434918458972
"15"	"V201"	10299	-0.54822165976717
"16"	"V202"	10299	-0.591225327146546
"17"	"V214"	10299	-0.54822165976717
"18"	"V215"	10299	-0.591225327146546
"19"	"V227"	10299	-0.649417950650692
"20"	"V228"	10299	-0.627762945785391
"21"	"V240"	10299	-0.60524856977632
"22"	"V241"	10299	-0.662533062898382
"23"	"V253"	10299	-0.762137610987416
"24"	"V254"	10299	-0.77799317279698
"25"	"V266"	10299	-0.622761658493734
"26"	"V267"	10299	-0.53749328145871
"27"	"V268"	10299	-0.665033506271952
"28"	"V269"	10299	-0.603356276555826
"29"	"V270"	10299	-0.528420009576204
"30"	"V271"	10299	-0.617874813333395
"31"	"V294"	10299	-0.2214691368263
"32"	"V295"	10299	0.015400588735675
"33"	"V296"	10299	0.0473098698476722
"34"	"V3"	10299	-0.108925032737064
"35"	"V345"	10299	-0.656713524546605
"36"	"V346"	10299	-0.628961179980356
"37"	"V347"	10299	-0.743608246170053
"38"	"V348"	10299	-0.654979816705833
"39"	"V349"	10299	-0.612243590244114
"40"	"V350"	10299	-0.780928428167213
"41"	"V373"	10299	-0.0477062917542325
"42"	"V374"	10299	-0.213392904926883
"43"	"V375"	10299	-0.123828014584147
"44"	"V4"	10299	-0.607783818968688
"45"	"V41"	10299	0.669226222373046
"46"	"V42"	10299	0.00403879092060517
"47"	"V424"	10299	-0.672094306818974
"48"	"V425"	10299	-0.70621663959074
"49"	"V426"	10299	-0.644192752866115
"50"	"V427"	10299	-0.738594816501343
"51"	"V428"	10299	-0.674226934551517
"52"	"V429"	10299	-0.690446312501126
"53"	"V43"	10299	0.0921508600211059
"54"	"V44"	10299	-0.965207115039421
"55"	"V45"	10299	-0.95440802665318
"56"	"V452"	10299	-0.101042702224631
"57"	"V453"	10299	-0.174277577553958
"58"	"V454"	10299	-0.0513928953203266
"59"	"V46"	10299	-0.938900969424022
"60"	"V5"	10299	-0.510191378479501
"61"	"V503"	10299	-0.585962696268539
"62"	"V504"	10299	-0.659531216655476
"63"	"V513"	10299	0.0768760112631957
"64"	"V516"	10299	-0.620789916331592
"65"	"V517"	10299	-0.640076803144351
"66"	"V526"	10299	0.173219742700723
"67"	"V529"	10299	-0.697411069729937
"68"	"V530"	10299	-0.699976372277643
"69"	"V539"	10299	-0.0415636227771787
"70"	"V542"	10299	-0.779767633083527
"71"	"V543"	10299	-0.792190209274884
"72"	"V552"	10299	0.126707820497791
"73"	"V6"	10299	-0.61306429934125
"74"	"V81"	10299	0.0789381220355816
"75"	"V82"	10299	0.0079481069090025
"76"	"V83"	10299	-0.00467469823628666
"77"	"V84"	10299	-0.63978102073413
"78"	"V85"	10299	-0.607971599340832
"79"	"V86"	10299	-0.762820240449202
